harness_id,segment,quantity,endpoint_a,endpoint_b,connector_a,connector_b,circuits,cut_length_allocation_mm,wire_or_cable,status
HAR-FLT-001,Battery to EPS,1,D1-BAT-001 pack interconnect PCB,D1-EPS-001,B06 direct termination,PAP-06V-S / B06B-PASK-1(LF)(SN),6,150,"55A0111-24-2 x2; 55A0111-24-0 x2; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PACK_TERMINATION_OPEN
HAR-FLT-002,Solar +X to EPS,1,D1-SOL-001 +X,D1-EPS-001,panel direct termination,PAP-04V-S / B04B-PASK-1(LF)(SN),4,180,"55A0111-24-2 x1; 55A0111-24-0 x1; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PANEL_LEAD_TRANSITION_OPEN
HAR-FLT-003,Solar -X to EPS,1,D1-SOL-001 -X,D1-EPS-001,panel direct termination,PAP-04V-S / B04B-PASK-1(LF)(SN),4,180,"55A0111-24-2 x1; 55A0111-24-0 x1; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PANEL_LEAD_TRANSITION_OPEN
HAR-FLT-004,Solar +Y to EPS,1,D1-SOL-001 +Y,D1-EPS-001,panel direct termination,PAP-04V-S / B04B-PASK-1(LF)(SN),4,180,"55A0111-24-2 x1; 55A0111-24-0 x1; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PANEL_LEAD_TRANSITION_OPEN
HAR-FLT-005,Solar -Y to EPS,1,D1-SOL-001 -Y,D1-EPS-001,panel direct termination,PAP-04V-S / B04B-PASK-1(LF)(SN),4,180,"55A0111-24-2 x1; 55A0111-24-0 x1; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PANEL_LEAD_TRANSITION_OPEN
HAR-FLT-006,Solar -Z to EPS,1,D1-SOL-001 -Z,D1-EPS-001,panel direct termination,PAP-04V-S / B04B-PASK-1(LF)(SN),4,180,"55A0111-24-2 x1; 55A0111-24-0 x1; 55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_PANEL_LEAD_TRANSITION_OPEN
HAR-FLT-007,Deployer switch 1 to FAB,1,D1-FAB SDS002RULC 1,D1-FAB gate network,switch tab direct termination,PAP-02V-S / B02B-PASK-1(LF)(SN),2,180,"55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_SWITCH_TAB_OPEN
HAR-FLT-008,Deployer switch 2 to FAB,1,D1-FAB SDS002RULC 2,D1-FAB gate network,switch tab direct termination,PAP-02V-S / B02B-PASK-1(LF)(SN),2,180,"55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_SWITCH_TAB_OPEN
HAR-FLT-009,Deployer switch 3 to FAB,1,D1-FAB SDS002RULC 3,D1-FAB gate network,switch tab direct termination,PAP-02V-S / B02B-PASK-1(LF)(SN),2,180,"55A0111-26-9 x1; 55A0111-26-0 x1",CAD_ROUTE_AND_SWITCH_TAB_OPEN
HAR-FLT-010,Camera to payload carrier,1,SkyFox piCAM/FM,D1-CAM-001 carrier,510210600,510210600 / 532610671,6,120,"55A0111-26-9 x4; cavity 5 empty; 55A0111-26-0 x1",CAMERA_HEADER_FINISH_AND_CAD_ROUTE_OPEN
HAR-FLT-011,Radio carrier to antenna board,1,D1-COM-001 U.FL-R-SMT-1(10),D1-ANT-001 U.FL-R-SMT-1(10),U.FL plug,U.FL plug,1,100,Hirose UFL-2LPA-068Y2T-A-100,COTS_LENGTH_SELECTED_CAD_ROUTE_OPEN
HAR-GSE-001,Removable service cable,1,D1-FAB-001 service port,D1-GS-EGSE-001,PAP-10V-S / B10B-PASK-1(LF)(SN),EGSE termination open,10,1000,"55A0111-26-9 and 55A0111-26-0",GROUND_EGSE_ENDPOINT_OPEN
