id,vendor,item,quantity,phase1_status,unit_cost_low_EUR_estimate,unit_cost_base_EUR_estimate,unit_cost_high_EUR_estimate,published_price,unit_mass,mass_basis,dimensions,size_basis,power,power_basis,order_or_quote_url,availability,audit_date,card
B01,ISISPACE,"1U structure, rails, fasteners, separation provisions",1,CANDIDATE / EVIDENCE INCOMPLETE,2000,3000,4500,"€3,450 shown by CubeSatShop on 2026-09-15; taxes, freight, options, and configuration scope unknown",150 g,PROJECT ALLOCATION; current storefront does not publish mass,Nominal spacecraft rail envelope about 100 × 100 × 113.5 mm,PROJECT ALLOCATION from CubeSat form factor; controlled structure and deployer drawings remain required,No electrical load,Physical structure,https://www.cubesatshop.com/product/1-unit-cubesat-structure/,"Storefront states 4–6 weeks, but this is not a supplier quotation or confirmation for the required flight configuration.",2026-09-15,cards/B01_ISISPACE_1U_structure.md
B02,ISISPACE,ICEPS2 Type A with integrated battery and three-separation-switch/RBF option,1,CANDIDATE / EVIDENCE INCOMPLETE,4500,6500,9000,No public price; project planning allowance only,184 ± 5 g,CURRENT VENDOR PAGE; includes battery,"96 × 92 × 26.45 mm, PCB and top battery",CURRENT VENDOR PAGE; project CAD uses 26.5 mm from S03,"Stores 22.5 Wh per current product page; VD0 unregulated, four VD1 5 V channels, four VD2 3.3 V channels; project peak delivered-load screen is 6.444 W and 1.26 A battery-side at 6 V",VENDOR catalog plus PROJECT CALCULATION; per-channel transient closure is open,https://www.isispace.nl/product/compact-electrical-power-system/,"Current product family; exact switch/RBF option, electrical revision, lead time, battery lot, and acceptance scope require quote.",2026-09-15,cards/B02_ISISPACE_ICEPS2_Type_A.md
B03,ISISPACE,"1U side solar panel, two cells in series",3,CANDIDATE / EVIDENCE INCOMPLETE,1200,1800,2500,No public price; project planning allowance per panel,50 g each; 150 g line total,"CURRENT VENDOR PAGE, configuration dependent",Planform unknown; 1.2–2.0 mm typical thickness,CURRENT VENDOR PAGE for thickness; project CAD planform is an ASSUMPTION,Procurement target ≥2.3 W BOL per panel; two series cells approximately 5.4 V BOL using current catalog values,PROJECT REQUIREMENT plus CURRENT VENDOR approximate per-cell values,https://www.isispace.nl/product/small-satellite-solar-panels/,"Catalog family is current; exact face configuration, lead time, and deliverable revision require written quotation.",2026-09-15,cards/B03_ISISPACE_1U_side_solar_panels.md
B04,ISISPACE,1U -Z solar panel with separation-switch clearances,1,CANDIDATE / EVIDENCE INCOMPLETE,1200,1800,2500,No public price; project planning allowance,50 g,"CURRENT VENDOR PAGE, configuration dependent",Planform and relief geometry unknown; 1.2–2.0 mm typical thickness,CURRENT VENDOR PAGE for thickness,Procurement target ≥2.3 W BOL; two series cells approximately 5.4 V BOL,PROJECT REQUIREMENT plus CURRENT VENDOR approximate per-cell values,https://www.isispace.nl/product/small-satellite-solar-panels/,"Catalog family is current; exact face configuration, lead time, and deliverable revision require written quotation.",2026-09-15,cards/B04_ISISPACE_1U_minusZ_solar_panel.md
B05,ISISPACE,1U +Z solar panel for AntS mounting,1,CANDIDATE / EVIDENCE INCOMPLETE,1200,1800,2500,No public price; project planning allowance,50 g,"CURRENT VENDOR PAGE, configuration dependent; no AntS cover mass credit taken",Planform/interface unknown; 1.2–2.0 mm typical thickness,CURRENT VENDOR PAGE for thickness,Procurement target ≥2.3 W BOL; two series cells approximately 5.4 V BOL,PROJECT REQUIREMENT plus CURRENT VENDOR approximate per-cell values,https://www.isispace.nl/product/small-satellite-solar-panels/,"Catalog family is current; exact face configuration, lead time, and deliverable revision require written quotation.",2026-09-15,cards/B05_ISISPACE_1U_plusZ_AntS_solar_panel.md
B06,GomSpace,NanoMind A3200 flight computer,1,CANDIDATE / EVIDENCE INCOMPLETE,3500,5500,8000,No public price; project planning allowance only,24 g including shield,S08 VENDOR DATASHEET,65 × 40 × 7.1 mm,S08 VENDOR DATASHEET,"3.2–3.4 V supply; vendor table gives 23–45 mA for listed clock/workload states, with additional sensor/flash loads; project allocates 0.18 W nominal, 0.08 W recovery and 0.9 W peak",S08 VENDOR DATASHEET plus PROJECT ALLOCATIONS; peak is not a measured mission value,https://gomspace.com/product/nanomind-a3200/,"Current product page; stock, lead time, current revision, BSP and support terms are unconfirmed.",2026-09-15,cards/B06_GomSpace_NanoMind_A3200.md
B07,GomSpace,"NanoCom AX100-U, sales part 200315, Mode 5",1,CANDIDATE / EVIDENCE INCOMPLETE,4500,6500,9000,No public price; project planning allowance only,24.5 g,CURRENT VENDOR PAGE and S10,65 × 40 × 6.5 mm,CURRENT VENDOR PAGE and S10,3.3 V supply; RX 45/55/120 mA min/typ/max; TX 750/800/850 mA at +25 °C and up to 1 A across -30 to +85 °C; project allocates 0.20 W RX and 3.3 W TX,S10 VENDOR DATASHEET plus PROJECT ALLOCATIONS,https://gomspace.com/product/nanocom-ax100/,"Current product page and 2024 PCN support U/UL sale, but exact delivery revision, lead time and firmware remain quote controlled.",2026-09-15,cards/B07_GomSpace_NanoCom_AX100U.md
B08,GomSpace,"NanoDock DMC-3 carrier, top-side two modules",1,CANDIDATE / EVIDENCE INCOMPLETE,900,1500,2500,No current public price; project planning allowance only,51 g without daughterboards,"S45 DS 1012962 rev 1.12, p14",91.9 × 88.7 × 8.6 mm,"S45, pp4 and 14; replaces incorrect CAD envelope assumption",Passive carrier in flight; the only active circuit is USB-to-serial and is powered from USB,"S45, pp6 and 14; daughterboard loads remain separate",https://gomspace.com/product/nanodock-dmc-3/,"Current public quote route verified 2026-09-15; stock, price and lead time remain unconfirmed.",2026-09-15,cards/B08_GomSpace_NanoDock_DMC3.md
B09,ISISPACE,"AntS 1U–3U UHF turnstile, 5 V model",1,CANDIDATE / EVIDENCE INCOMPLETE,1500,2500,4000,No public price; project planning allowance only,<90 g,CURRENT VENDOR PAGE; project carries 90 g,98 × 98 × 7 mm stowed including supplied aluminum cover,CURRENT VENDOR PAGE,<60 mW nominal for 5 V model; 2 W during deployment; maximum RF input 2 W,CURRENT VENDOR PAGE,https://www.isispace.nl/product/vhf-uhf-antenna-for-1u-3u/,"Current catalog product; exact turnstile frequency, element arrangement, connector and lead time require quote.",2026-09-15,cards/B09_ISISPACE_AntS_UHF_turnstile_5V.md
B10,Integration vendor,"D1-IF adapter: two 5 V to 3.3 V regulators, isolation and harness routing",1,CUSTOM COMPONENT / DESIGN INCOMPLETE,800,1500,3000,No product price; custom NRE/board/assembly/test planning allowance,45 g,PROJECT ALLOCATION,88 × 88 × 6 mm CAD envelope,"ASSUMPTION; no schematic, layout or released PCB exists",Two independent 3.30 V branches: 1.0 A OBC design allocation and 1.2 A radio design allocation; project distribution efficiency 85% includes adapter losses,PROJECT DESIGN ALLOCATION,Not applicable—release schematic/BOM/Gerbers and issue an RFQ to an integration/PCB assembly vendor. Candidate regulator reference: https://www.ti.com/product/TPSM82823,"NOT DESIGN RELEASED. TI lists the candidate TPSM82823 as active, but that does not establish space suitability or adapter availability.",2026-09-15,cards/B10_D1IF_adapter.md
