function_id,required_function,current_candidate,exact_identifier,phase1_disposition,public_order_route,public_price,document_coverage,critical_evidence_gap,analysis_prevented,next_action
F01,"1U primary structure and deployer rails","ISISPACE 1U structure","SKU 100000","CANDIDATE / EVIDENCE INCOMPLETE","https://www.cubesatshop.com/product/1-unit-cubesat-structure/","EUR 3450 indicative","Current storefront; public CubeSat and EXOpod envelope sources; Pumpkin Rev D set C02 audited as better-documented geometry alternative","No public controlled ISISPACE mechanical drawing, mass, material/finish tolerances, fastener schedule or switch configuration; Pumpkin alternative is marked unavailable and also incomplete","Detailed structural model; mass properties; fastener/load path; deployer-fit release","Retain ISISPACE for trade/layout only; preserve Pumpkin C02 as an unpromoted alternative"
F02,"Independent launch inhibits, separation sensing and RBF","ICEPS2 option plus structure switches","Exact option/order code unknown","CANDIDATE / EVIDENCE INCOMPLETE — NO DOCUMENTED COTS ALTERNATIVE","https://www.isispace.nl/product/compact-electrical-power-system/","QUOTE REQUIRED","ICEPS2 datasheet describes option families and electrical architecture","Exact three-switch/RBF topology, source isolation, switch hardware/travel and delivered option are not public","Hazard-path independence analysis; launch electrical compliance; harness release","Keep blocked; define truth table from public requirements and reconcile to as-ordered ICD before purchase"
F03,"Solar conversion, battery charging and switched distribution","ISISPACE ICEPS2 Type A","Product family Type A; exact sales code unknown","CANDIDATE / EVIDENCE INCOMPLETE","https://www.isispace.nl/product/compact-electrical-power-system/","QUOTE REQUIRED","Current page and issue 1.2 datasheet cover domains, currents, modes and some protection","Current page says 22.5 Wh while linked datasheet says 28.8 Wh/2S1P 7.2 V 4 Ah; exact delivered configuration and some transients unknown","Credible energy/life model; final rail compatibility; thermal model","Retain as best documented current 1U candidate but treat capacity/configuration as UNKNOWN until reconciled"
F04,"Rechargeable energy storage for eclipse and restart","ICEPS2 integrated Type A battery","Exact cells/lot/configuration unknown","CANDIDATE / EVIDENCE INCOMPLETE","https://www.isispace.nl/product/compact-electrical-power-system/","Included in quote","Public charge/discharge temperature and current information exists in issue 1.2 datasheet","Cell identity, page/datasheet capacity conflict, calendar/cycle life, lot evidence and installed thermal properties unavailable","Twelve-month capacity retention; battery safety case; component-specific thermal prediction","Do not use a nominal capacity or generic heat capacity to close the mission"
F05,"Body-mounted solar generation on six faces","ISISPACE customizable small-satellite panels","Six exact panel configurations/order codes unknown","CANDIDATE / EVIDENCE INCOMPLETE","https://www.isispace.nl/product/small-satellite-solar-panels/","QUOTE REQUIRED","Current family page and legacy brochure give family-level values; Pumpkin fixed-panel family C03 audited as an alternative","No exact six-face ISISPACE layouts/IV evidence; Pumpkin selector is unavailable and lacks exact mass, IV, interfaces and environmental limits","Power generation over temperature/attitude/EOL; panel fit; aperture feasibility","Retain ISISPACE family as placeholder; preserve Pumpkin C03 as an incomplete alternative; no face power is verified"
F06,"Command/data handling, storage, RTC, watchdog support and rate sensing","GomSpace NanoMind A3200","Product NanoMind A3200; delivery sales code/revision unknown","CANDIDATE / EVIDENCE INCOMPLETE","https://gomspace.com/product/nanomind-a3200/","QUOTE REQUIRED","Current page and DS1006901 rev 1.17 cover mechanics, supply, interfaces, memory and operating current","Exact delivery revision, BSP/library licenses, errata, guaranteed watchdog behavior and radiation application evidence are not public","Flight-software integration depth; final fault containment; part-level radiation assurance","Retain candidate; public evidence is adequate for preliminary interface and power analysis only"
F07,"Carrier and routing for OBC/radio","GomSpace NanoDock DMC-3","Document 1012962; option sheet 1012964","CANDIDATE / EVIDENCE INCOMPLETE","https://gomspace.com/product/nanodock-dmc-3/","QUOTE REQUIRED","Current product page; DS 1012962 rev 1.12; OSF 1012964 rev 2.3 dated 2025-04-14; qualification certificate","As-ordered connector population and power routing remain configuration choices","No present Phase 1 analysis is blocked if the option sheet is completed consistently; procurement remains blocked","Correct previous availability finding; prepare project option-sheet selection without ordering"
F08,"UHF command, telemetry and image downlink","GomSpace NanoCom AX100-U","Sales part 200315; Mode 5","CANDIDATE / EVIDENCE INCOMPLETE","https://gomspace.com/product/nanocom-ax100/","QUOTE REQUIRED","Current page, DS1013823 rev 3.7 and 2024 U/UL PCN cover RF/electrical/mechanical/interface behavior","Exact firmware/manual, frequency authorization and as-delivered acceptance evidence remain downstream","Regulatory filing and final software integration; preliminary link/power/interface work can proceed","Retain; freeze no RF frequency until licensing path is decided"
F09,"Deployable UHF turnstile and release electronics","ISISPACE VHF/UHF Antenna for 1U-3U","Turnstile, 5 V; exact order code/frequency/connector unknown","CANDIDATE / EVIDENCE INCOMPLETE","https://isispace.nl/product/vhf-uhf-antenna-for-1u-3u/","QUOTE REQUIRED","Current page covers mass, envelope, power, I2C, frequency range, gain, bandwidth and deployment limits","Exact tuned frequency, element lengths/pattern, connector, wiring/commands, deployed envelope and test reports are not public","Integrated RF pattern/link margin; deployment clearance and hazard verification","Retain as best documented compact candidate; keep deployment and RF closure blocked"
F10,"Occasional recognizable Earth image capture","SkyFox Labs piCAM flight model","piCAM/FM","CANDIDATE / EVIDENCE INCOMPLETE","https://www.skyfoxlabs.com/product/27-picam","EUR 4950 for quantity 1","Current product page and piCAM Product Datasheet Rev A/2025 cover mechanics, power, pinout, boot, commands, JPEG, optics, thermal guidance and orbital examples","Radiation-hard parts are explicitly absent; exact lens projection/MTF, acceptance/qualification report and as-delivered configuration remain downstream","Part-level radiation survival and final image probability; preliminary interface/data/power/mechanical analysis can proceed","Replace CS-101 as preferred Phase 1 camera candidate; baseline change remains controlled"
F11,"Payload power switching and single-event latchup current limiting","D1-IF adapter with TI regulator concept","No released assembly; TPSM82823 is only a candidate IC","CUSTOM COMPONENT REQUIRED / DESIGN INCOMPLETE","https://www.ti.com/product/TPSM82823","Assembly price unknown","Regulator datasheet exists; piCAM datasheet explicitly recommends latchup current limiting","No schematic, protection topology, component BOM, layout, fault analysis, radiation evidence or verified rail transient","Safe 3.3 V compatibility for OBC/radio/camera; fault containment; radiation analysis","Do not call B10 COTS; either release/test a documented board or select an integrated compatible power architecture"
F12,"Power/data harness, mating connectors, RF coax and strain relief","Unreleased project harness","No part numbers","CUSTOM COMPONENT REQUIRED / DESIGN INCOMPLETE","","Unknown","Component datasheets identify several board-side connector families","Mating housing/contact part numbers, wire/coax types, lengths, derating, voltage drop, bend radius, retention and workmanship are undefined","Voltage-drop/EMC/RF-loss analysis; CAD routing; procurement and assembly","Itemize only after exact component options and connector pin maps are frozen"
F13,"Battery thermal interface and approved insulating/conductive materials","B12 project allowance","No manufacturer, material or part number","UNSUITABLE","","Unknown","None for a real assembly","All geometry, materials, optical properties, conductance and fasteners are unknown","Any component-specific thermal result and heater-energy conclusion","Withdraw as a component; create a thermal interface design only from selected materials and measurable geometry"
