component,property,value,evidence_status,primary_source,source_location,analysis_or_decision_blocked,note
ISISPACE 1U structure / SKU 100000,commercial identity,ISISPACE 1-Unit CubeSat structure; storefront SKU 100000,VERIFIED,S06,current storefront,,Exact manufacturer sales/configuration code beyond reseller SKU is not shown
ISISPACE 1U structure / SKU 100000,orderability and price,EUR 3450; availability 4-6 weeks,VERIFIED_INDICATIVE,S06,current storefront,,Not a received quote or stock confirmation
ISISPACE 1U structure / SKU 100000,external/deployer envelope,UNKNOWN for the delivered structure,UNKNOWN,S06; S01; S33,storefront; external standards,Detailed deployer fit and rail compliance,Project envelope is not a manufacturer drawing
ISISPACE 1U structure / SKU 100000,internal envelope and mounting drawing,UNKNOWN,UNKNOWN,S06,checked current storefront,CAD placement; mounting; access; fasteners,No public controlled manufacturer drawing located
ISISPACE 1U structure / SKU 100000,mass,UNKNOWN,UNKNOWN,S06,checked current storefront,Mass margin and center of mass,Prior 150 g value is a project allocation
ISISPACE 1U structure / SKU 100000,material/rail finish/tolerances,UNKNOWN,UNKNOWN,S06,checked current storefront,Structural and wear/compliance analysis,Generic CubeSat/deployer rules cannot establish this product
ISISPACE 1U structure / SKU 100000,fasteners and torque,UNKNOWN,UNKNOWN,S06,checked current storefront,Load path and assembly release,
ISISPACE 1U structure / SKU 100000,separation-switch accommodation,UNKNOWN exact option and geometry,UNKNOWN,S06,checked current storefront,Inhibit design and final CAD,
ISISPACE 1U structure / SKU 100000,environmental qualification/acceptance,Flight heritage claim only; test evidence UNKNOWN,UNKNOWN,S06,checked current storefront,Launch survival claim,
ISISPACE 1U structure / SKU 100000,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,commercial identity,"Rev D set: base 710-00294, chassis walls 703-00289, cover 710-00296; AntS cover 710-00784 is a separate alternative",VERIFIED_SET,S53; S54,manufacturer CAD index and current store pages,Final end-plate/switch configuration,No single purchasable kit SKU for this exact set is exposed
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,orderability and price,Current store lists component-family prices but marks the selectable products Unavailable,NOT_CURRENTLY_OBTAINABLE,S54; S55,current store pages,Phase 1 COTS identity and cost closure,A contact route is not evidence of commercial obtainability under the Phase 1 rule
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,external/internal geometry,Public Rev D assembly CAD and 97 x 97 mm internal cross-section are identified,VERIFIED_PUBLIC_MODEL,S53; S54,CAD index; chassis page,Deployer-fit and internal-layout modeling,CAD license permits integration modeling but restricts manufacturing/RFQ use
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,mass,Exact Rev D three-piece 1U set mass not established in the reviewed public pages; only historical complete-flight-model and relative values located,UNKNOWN,S54; S57,pages and manual checked,Mass budget and center of mass,
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,materials/finish,5052-H32 sheet; machined feet/spacers 6061-T6; stainless fasteners; launcher-contact rails hard anodized and remaining surfaces gold alodined,VERIFIED_FAMILY,S56,manufacturer FAQ,Exact part drawing/material callout acceptance remains,
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,fasteners/interfaces,Ten M3 x 5 mm stainless flathead screws for standard structure; current pages state four cover and six base screws,VERIFIED_FAMILY,S54; S56,structure and product pages,Torque/locking and exact assembly release,Torque and locking compound are not established
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,separation-switch accommodation,"Multiple exact cover/base alternatives are published, including dual-switch and AntS-compatible assemblies",PARTIAL,S53; S55,CAD index and store pages,Inhibit layout and exact spacecraft assembly,Project has not selected a compatible exact set
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,operating/storage limits,Historical manufacturer manual states -40 to +85 C for parts destined for space; exact current Rev D structure acceptance limits not established,PARTIAL_LEGACY,S57,manufacturer user manual,Current configuration environmental basis,
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,qualification/acceptance,Store claims flight qualified/space proven; no configuration-specific public qualification or delivered-unit acceptance report located,UNKNOWN,S54; S55,current store pages checked,Launch survival claim,
Pumpkin CubeSat Kit 1U skeletonized structure / Rev D component set,Phase 1 gate,CANDIDATE / EVIDENCE INCOMPLETE,FAIL,D1-CMP-STD-001,all rows above,Admission to Phase 1 baseline,
ISISPACE ICEPS2 Type A,commercial identity,ICEPS2 Type A; exact sales/order code and option set UNKNOWN,PARTIAL,S02; S03,product page; datasheet cover,Configuration control,
ISISPACE ICEPS2 Type A,orderability and price,Current quote route; public price UNKNOWN,PARTIAL,S02,current product page,Cost closure,
ISISPACE ICEPS2 Type A,dimensions,96 x 92 x 26.45 mm,VERIFIED,S02,product specification,,
ISISPACE ICEPS2 Type A,mass,184 +/- 5 g,VERIFIED,S02,product specification,,
ISISPACE ICEPS2 Type A,battery energy/configuration,"22.5 Wh on current page; 28.8 Wh, 2S1P, 7.2 V, 4 Ah in linked issue 1.2 datasheet",CONFLICT,S02; S03,page specification; datasheet battery table,"Energy, life, peak-current and thermal analysis",
